Brand,Name,Image URL,Fragrantica URL
Atkinsons,The Big Bad Cedar Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/0/3/0330000000035_4.jpg,https://www.fragrantica.com/perfume/Atkinsons/The-Big-Bad-Cedar-37880.html
Atkinsons,Scilly Neroli Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/0/3/0330000000034_1.jpg,https://www.fragrantica.com/perfume/Atkinsons/Scilly-Neroli-37882.html
Atkinsons,Robinson Bear Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/0/3/0330000000028_4.jpg,https://www.fragrantica.com/perfume/Atkinsons/Robinson-Bear-61273.html
Trussardi,Le Vie Di Milano Edizione Millesimata Sea Daffodil,https://jasmin.b-cdn.net/media/catalog/product/placeholder/default/large-jasmin-no-photo_1.png,https://www.fragrantica.com/perfume/Trussardi/Sea-Daffodil-Edizione-Millesimata-91903.html
Trussardi,Le Vie Di Milano Champaca Edizione Millesimata Edp,https://jasmin.b-cdn.net/media/catalog/product/placeholder/default/large-jasmin-no-photo_1.png,https://www.fragrantica.com/perfume/Trussardi/Champaca-Edizione-Millesimata-91904.html
Trussardi,Le Vie Di Milano Edizione Millesimata Clary Sage E,https://jasmin.b-cdn.net/media/catalog/product/placeholder/default/large-jasmin-no-photo_1.png,https://www.fragrantica.com/perfume/Trussardi/Clary-Sage-Edizione-Millesimata-91902.html
Versace,Bright Crystal Woman Edt,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/2/0/200302000214_5.jpg,https://www.fragrantica.com/perfume/Versace/Bright-Crystal-632.html
Boss,Alive Woman Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/3/6/3614228830393_hb_alv_edp_20_80ml.jpg,https://www.fragrantica.com/perfume/Hugo-Boss/Boss-Alive-Eau-de-Parfum-59228.html
Burberry,Her Elixir Parfum,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/0/3/0310000000006_1_1.jpg,https://www.fragrantica.com/perfume/Burberry/Burberry-Her-Elixir-de-Parfum-75968.html
Dolce&Gabbana,The Only One Female Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/2/0/200302001161.jpg,https://www.fragrantica.com/perfume/Dolce-Gabbana/The-Only-One-51249.html
Chloe,Nomade Jasmin Naturel Intense Woman Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/c/h/chloe_nomade_jasmin_naturel_intense_edp.jpg,https://www.fragrantica.com/perfume/Chloe/Nomade-Jasmin-Naturel-Intense-79230.html
Gucci,Bloom Woman Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/2/0/200302000156.jpg,https://www.fragrantica.com/perfume/Gucci/Gucci-Bloom-44894.html
Michael Kors,Gorgeous Woman Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/0/3/0310000000080.jpg,https://www.fragrantica.com/perfume/Michael-Kors/Gorgeous-64629.html
Trussardi,Feminine Woman Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/2/0/200302000476_1.jpg,https://www.fragrantica.com/perfume/Trussardi/Donna-Trussardi-882.html
Lalique,Lamour Woman Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/l/a/lamour_woman_edp_c.jpg,https://www.fragrantica.com/perfume/Lalique/L-Amour-16931.html
Versace,Dylan Purple Woman Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/8/0/8011003876280_2.jpg,https://www.fragrantica.com/perfume/Versace/Versace-Pour-Femme-Dylan-Purple-76274.html
Moschino,Toy 2 Woman Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/2/0/200302001183.jpg,https://www.fragrantica.com/perfume/Moschino/Toy-2-51589.html
Calvin Klein,My Euphoria Woman Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/0/3/0310000000091.jpg,https://www.fragrantica.com/perfume/Calvin-Klein/My-Euphoria-82739.html
Boss,The Scent For Her Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/b/o/boss_the_scent_for_her_edp_c.jpg,https://www.fragrantica.com/perfume/Hugo-Boss/Boss-The-Scent-For-Her-38998.html
Salvatore Ferragamo,Amo Ferragamo Oriental Wood Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/8/0/8052464892174_2.jpg,https://www.fragrantica.com/perfume/Salvatore-Ferragamo/Amo-Ferragamo-Oriental-Wood-78742.html
Gucci,Flora Gorgeous Magnolia Woman Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/0/3/0310000000086.jpg,https://www.fragrantica.com/perfume/Gucci/Flora-Gorgeous-Magnolia-83621.html
Trussardi,Donna Pink Marine Edt,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/t/r/trussardi_donna_pink_marine_edt_c.jpg,https://www.fragrantica.com/perfume/Trussardi/Trussardi-Donna-Pink-Marina-61387.html
Calvin Klein,Eternity Woman Aromatic Essence Parfum,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/3/6/3616303476809_2.jpg,https://www.fragrantica.com/perfume/Calvin-Klein/Eternity-Aromatic-Essence-89707.html
Marc Jacobs,Perfect Elixir Woman Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/3/6/3616305187321.jpg,https://www.fragrantica.com/perfume/Marc-Jacobs/Perfect-Elixir-96014.html
Salvatore Ferragamo,Signorina Unica Woman Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/8/0/8052464896097_2.jpg,https://www.fragrantica.com/perfume/Salvatore-Ferragamo/Signorina-Unica-92068.html
Dolce&Gabbana,Q By Dolce&Gabbana Woman Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/0/3/0310000000048.jpg,https://www.fragrantica.com/perfume/Dolce-Gabbana/Q-by-Dolce-Gabbana-78873.html
Chloe,Nomade Nuit D’Egypte Woman Edp,https://jasmin.b-cdn.net/media/catalog/product/cache/76b8c100e2cd4c61926cfb170351b2a4/3/6/3616303477950_2.jpg,https://www.fragrantica.com/perfume/Chloe/Nomade-Nuit-d-Egypte-89372.html
